"nr_countries";"account_id";"company_name";"Scope(s) (or Scope 3 category)";"Base year";"Target year";"Target coverage";"Targeted reduction from base year (%)";"BY_covered";"BY_100";"BY_100_excl_scope3";"MRY_100";"MRY_100_scope3"
12;10296;"KOSE Corporation";"Scope 1+2 (market-based)";2019;2031;"Company-wide";28;357366;357365.988;0;289627.2;0
12;10296;"KOSE Corporation";"Scope 1+2 (market-based)";2019;2051;"Company-wide";56.8;357366;357365.988;0;289627.2;0
18;10320;"Kurita Water Industries Ltd.";"Other, please specify: Scope 1,Scope 2(Location base) and part of category 13 in Scope 3 which is from the sites reported to administration with Act on Rationalizing Energy Use";2020;2020;"Country/region";0;4140000;0;0;0;0
18;10320;"Kurita Water Industries Ltd.";"Other, please specify: Scope 1,Scope 2(Market base) and part of category 13 in Scope 3 which is from the sites reported to administration with Act on Rationalizing Energy Use";2020;2020;"Country/region";0;216000;0;0;0;0
1;10331;"Kroger";"Scope 1+2 (market-based)";2018;2030;"Company-wide";30;5774060;7198461;0;5967865;0
1;10338;"KT Corporation";"Scope 1+2 (location-based)";2007;2030;"Company-wide";35;1276872;1276872;0;1134307;0
1;10338;"KT Corporation";"Scope 1+2 (location-based)";2007;2040;"Company-wide";50;1276872;1276872;0;1134307;0
31;10347;"Kubota Corporation";"Scope 1+2 (market-based)";2014;2030;"Company-wide";30;16554000;0;0;19524854;0
1;10350;"Kumba Iron Ore";"Scope 1+2 (location-based)";2016;2020;"Company-wide";8.3;950000;945966;0;1000000;0
2;10375;"Kyocera Corporation";"Scope 1+2 (location-based)";2014;2031;"Company-wide";30;2312000;2312000;0;1893300;0
2;10375;"Kyocera Corporation";"Scope 1+2 (location-based) +3 (upstream & downstream)";2014;2031;"Company-wide";30;12650000;0;0;10868538;1893300
57;10389;"L'Oréal";"Other, please specify: Scope 1 + Scope 2 Market-Based (administrative sites and research centres)";2016;2020;"Site/facility";60;2274927;0;0;0;0
34;10389;"L'Oréal";"Other, please specify: Scope 1 + Scope 2 Market-Based (Operations sites: factories and distribution centres)";2005;2020;"Site/facility";60;8147726;0;0;0;0
40;10389;"L'Oréal";"Other, please specify: Scope 1 + Scope 2 Market-Based (Operations, administrative and research sites) + Scope 3: Downstream transportation and distribution";2015;2020;"Company-wide";100;16000000;0;0;0;0
57;10389;"L'Oréal";"Scope 1+2 (market-based)";2016;2025;"Company-wide";100;6865650;6865650;0;4702158;0
57;10389;"L'Oréal";"Scope 1+2 (market-based) +3 (upstream & downstream)";2016;2030;"Company-wide";25;660915000;458236908;6865650;670579578;4702158
1;10395;"La Banque Postale";"Scope 1+2 (market-based)";2016;2022;"Company-wide";20;28052;0;0;22092;0
1;10395;"La Banque Postale";"Scope 1+2 (market-based) +3 (upstream)";2013;2020;"Company-wide";20;91592;0;0;63509;22092
6;10408;"Laboratory Corporation of America Holdings";"Scope 1+2 (market-based)";2014;2020;"Company-wide";15;1011762;964590;0;1943070;0
1;10453;"Landsec";"Scope 1+2 (location-based) +3 (downstream)";2014;2030;"Company-wide";70;79614;112966;66402;143535;34540
18;10480;"LANXESS AG";"Scope 1+2 (market-based)";2018;2025;"Company-wide";25;58500000;57762000;0;49543200;0
18;10480;"LANXESS AG";"Scope 1+2 (market-based)";2018;2030;"Company-wide";50;58500000;57762000;0;49543200;0
18;10480;"LANXESS AG";"Scope 1+2 (market-based)";2018;2040;"Company-wide";91;58500000;57762000;0;49543200;0
3;10494;"Las Vegas Sands Corporation";"Scope 1";2015;2030;"Business activity";19;464577;734892;0;642789;0
3;10494;"Las Vegas Sands Corporation";"Scope 1+2 (location-based)";2015;2021;"Business activity";9;2648856;3113433;0;2943597;0
3;10494;"Las Vegas Sands Corporation";"Scope 1+2 (market-based)";2018;2025;"Company-wide";17.5;2816082;2816082;0;2668944;0
55;10609;"LEGRAND";"Scope 1";2016;2030;"Company-wide";15;3176470;3176470;0;3023680;0
55;10609;"LEGRAND";"Scope 2 (market-based)";2016;2030;NA;36;6660610;0;0;14080;0
3;10629;"Legal and General";"Scope 1+2 (location-based) +3 (upstream)";2019;2030;"Company-wide";100;37188;138714;116820;138714;116820
8;10632;"Lerøy Seafood Group";"Scope 1+2 (location-based)";2018;2019;"Company-wide";10;963779.92;963779.92;0;964574;0
1;10650;"Liberty Holdings Ltd (incorporating Liberty Life Group Ltd)";"Scope 1+2 (location-based) +3 (upstream & downstream)";2018;2030;"Company-wide";73;100;238107;34314;227839.7;60252
3;10661;"Levi Strauss & Co.";"Scope 1+2 (market-based)";2016;2025;"Business division";90;168138;168141;0;73362;0
3;10661;"Levi Strauss & Co.";"Scope 3: Purchased goods & services";2016;2025;"Company-wide";40;9119439;9119439;0;10312461;0
53;10666;"Lexmark International, Inc.";"Scope 1+2 (location-based)";2015;2025;"Company-wide";25;6515714;6515714;0;5137608;0
53;10666;"Lexmark International, Inc.";"Scope 1+2 (location-based)";2015;2030;NA;37.5;6515714;6515714;0;5137608;0
2;10667;"LG Chem Ltd";"Scope 1+2 (location-based)";2014;2020;"Country/region";6.1;15922938;16768716;0;21719914;0
6;10667;"LG Chem Ltd";"Scope 1+2 (location-based)";2019;2050;"Company-wide";0;63499494;65159742;0;65159742;0
1;10668;"LG";"Scope 1+2 (location-based)";2009;2020;"Company-wide";40;4961577;14750000;0;4596872;0
1;10668;"LG";"Scope 1+2 (location-based)";2018;2030;"Company-wide";20.5;4725098;4725098;0;4596872;0
1;10668;"LG";"Scope 1+2 (location-based)";2018;2050;"Company-wide";45.8;4725098;4725098;0;4596872;0
16;10670;"LG Electronics";"Scope 1+2 (location-based)";2017;2030;"Company-wide";50;30930224;30855648;0;24046736;0
16;10670;"LG Electronics";"Scope 1+2 (location-based)";2017;2035;"Company-wide";50;30930224;30855648;0;24046736;0
1;10674;"LG Uplus";"Scope 1+2 (location-based)";2015;2030;"Company-wide";27.3;1030671;1030670;0;1098910;0
1;10674;"LG Uplus";"Scope 1+2 (location-based)";2015;2040;"Company-wide";41.2;1030671;1030670;0;1098910;0
1;10718;"LIGHT SA";"Scope 1";2018;2019;"Company-wide";6;18475.82;38604.79;0;13928.393;0
8;10754;"Lion Corporation";"Scope 1+2 (location-based) +3 (upstream & downstream)";2018;2030;"Other, please specify: <U+30B5><U+30D7><U+30E9><U+30A4><U+30C1><U+30A7><U+30FC><U+30F3><U+5168><U+4F53>";30;12743176;44771112;1204472;35820568;1168960
8;10754;"Lion Corporation";"Scope 1+2 (market-based)";1990;2020;"Site/facility";40;1148408;0;0;1151240;0
8;10754;"Lion Corporation";"Scope 3: End-of-life treatment of sold products";1990;2020;"Product-level";41;2578552;0;0;3727432;0
2;10781;"Lloyds Banking Group";"Scope 1+2 (location-based)";2009;2020;"Company-wide";40;848744;848744;0;309274;0
2;10781;"Lloyds Banking Group";"Scope 1+2 (location-based)";2009;2030;"Company-wide";60;848744;848744;0;309274;0
2;10781;"Lloyds Banking Group";"Scope 1+2 (location-based)";2009;2050;"Company-wide";80;848744;848744;0;309274;0
2;10781;"Lloyds Banking Group";"Scope 3: Business travel";2009;2020;"Company-wide";40;112106;74770;0;62846;0
2;10781;"Lloyds Banking Group";"Scope 3: Business travel";2009;2030;"Company-wide";60;112106;74770;0;62846;0
2;10781;"Lloyds Banking Group";"Scope 3: Business travel";2009;2050;"Company-wide";80;112106;74770;0;62846;0
2;10781;"Lloyds Banking Group";"Scope 3: Fuel and energy-related activities (not included in Scopes 1 or 2)";2009;2020;"Company-wide";40;164838;0;0;62102;0
2;10781;"Lloyds Banking Group";"Scope 3: Fuel and energy-related activities (not included in Scopes 1 or 2)";2009;2030;"Company-wide";60;164838;0;0;62102;0
2;10781;"Lloyds Banking Group";"Scope 3: Fuel and energy-related activities (not included in Scopes 1 or 2)";2009;2050;"Company-wide";80;164838;0;0;62102;0
2;10791;"Lojas Renner S.A.";"Scope 1+2 (location-based) +3 (upstream)";2017;2021;"Company-wide";20;87834;87835.16;47032.04;85201.018;33927.046
1;10797;"Loblaw Companies Limited";"Other, please specify: Scope 1 + Scope 2 (location-based) + Scope 3 (business travel + waste generated in operations)";2011;2020;"Other, please specify: Operational corporate carbon footprint";20;1153542.76;0;0;0;0
1;10797;"Loblaw Companies Limited";"Other, please specify: Scope 1 + Scope 2 (location-based) + Scope 3 (business travel + waste generated in operations)";2011;2030;"Other, please specify: Operational corporate carbon footprint";30;1153542.76;0;0;0;0
1;10797;"Loblaw Companies Limited";"Other, please specify: Scope 1 + Scope 2 (location-based) + Scope 3 (business travel + waste generated in operations)";2011;2030;"Other, please specify: Operational corporate carbon footprint";50;1153542.76;0;0;0;0
4;10820;"Lockheed Martin Corporation";"Scope 1+2 (location-based)";2010;2020;"Company-wide";35;5085432;5774240;0;3872084;0
40;10834;"Logitech Europe S.A.";"Scope 1+2 (market-based)";2018;2030;"Company-wide";72;214200;214240;0;113960;0
49;10848;"IGT PLC";"Scope 1+2 (location-based)";2018;2019;"Company-wide";2;4138295;4138317.05;0;3851253;0
9;10871;"London Stock Exchange Group";"Scope 1+2 (market-based)";2016;2030;"Company-wide";40;209331;209331;0;16344;0
4;11017;"Lowe's Companies, Inc.";"Scope 1+2 (location-based)";2016;2030;"Company-wide";40;10840592;10491284;0;8434020;0
12;11043;"PJSC “LUKOIL”";"Scope 1";2016;2020;"Country/region";1.2;375360000;482070763.56;0;477793046.04;0
3;11048;"Lundbeck A/S";"Scope 1+2 (market-based)";2016;2026;"Company-wide";30;59829;59829;0;45759;0
3;11048;"Lundbeck A/S";"Scope 1+2 (market-based)";2016;2035;"Company-wide";70;59829;59829;0;45759;0
3;11048;"Lundbeck A/S";"Scope 1+2 (market-based)";2018;2019;"Company-wide";3;47916;47919;0;45759;0
1;11049;"Lundin Energy AB";"Scope 1+2 (location-based) +3 (upstream)";2019;2030;"Company-wide";100;217085;328655.3;299602.3;328655.3;299602.3
62;11063;"LVMH";"Scope 1+2 (market-based)";2013;2020;"Company-wide";25;13669760;13669760;0;15458460;0
16;11118;"Mace Ltd";"Scope 1+2 (market-based)";2017;2022;"Company-wide";100;56224;160462.56;0;109538.56;0
16;11118;"Mace Ltd";"Scope 3: Business travel";2017;2022;"Company-wide";20;124544.96;0;0;163568;0
2;11268;"Magyar Telekom Nyrt.";"Scope 1+2 (location-based)";2015;2030;"Business division";84;180618;228842;0;189168;0
3;11268;"Magyar Telekom Nyrt.";"Scope 3 (upstream & downstream)";2017;2030;"Business division";30;507699;188442;0;444546;0
9;11312;"Man Group plc";"Scope 1";2018;2050;"Company-wide";100;12492;12492;0;10224;0
9;11312;"Man Group plc";"Scope 1";2019;2022;"Company-wide";30;10224;10224;0;10224;0
9;11312;"Man Group plc";"Scope 2 (location-based)";2019;2022;"Company-wide";30;38277;38277;0;38277;0
9;11312;"Man Group plc";"Scope 2 (market-based)";2017;2018;"Company-wide";15;34056;38952;0;4176;0
9;11312;"Man Group plc";"Scope 2 (market-based)";2019;2022;"Company-wide";50;4176;4176;0;4176;0
5;11328;"Marks and Spencer Group plc";"Scope 1+2 (market-based)";2007;2030;"Company-wide";80;3199645;3199645;0;975335;0
5;11328;"Marks and Spencer Group plc";"Scope 1+2 (market-based)";2007;2035;"Company-wide";90;3199645;3199645;0;975335;0
24;11335;"MAPFRE";"Scope 1+2 (location-based) +3 (upstream)";2013;2020;"Other, please specify: 9 COUNTRIES: Spain, Argentina, Brazil, Chile, Colombia, USA, Mexico, Puerto Rico and Turkey.";20;1190904;1190925.6;1001789.28;1927659.6;1134488.16
24;11335;"MAPFRE";"Scope 1+2 (location-based) +3 (upstream)";2017;2021;"Country/region";100;925794.96;1973820.24;838461.6;1927659.6;1134488.16
24;11335;"MAPFRE";"Scope 1+2 (location-based) +3 (upstream)";2017;2030;"Company-wide";100;1510094.16;1973820.24;838461.6;1927659.6;1134488.16
24;11335;"MAPFRE";"Scope 1+2 (location-based) +3 (upstream)";2017;2036;"Company-wide";100;1510094.16;1973820.24;838461.6;1927659.6;1134488.16
24;11335;"MAPFRE";"Scope 2 (market-based)";2013;2020;"Country/region";100;412608;0;0;343368;0
2;11336;"Maple Leaf Foods Inc.";"Scope 1+2 (market-based)";2018;2030;"Company-wide";30;735752;735752;0;732252;0
5;11349;"Marfrig Global Foods S/A";"Scope 1+2 (market-based)";2019;2028;"Company-wide";24;3170020;3170020;0;3170020;0
5;11349;"Marfrig Global Foods S/A";"Scope 1+2 (market-based)";2019;2035;"Company-wide";45;3170020;3170020;0;3170020;0
9;11366;"Mowi ASA";"Scope 1+2 (location-based)";2016;2030;"Company-wide";35;1804347;1561797;0;2245023;0
9;11366;"Mowi ASA";"Scope 1+2 (location-based)";2016;2050;"Company-wide";72;1804347;1561797;0;2245023;0
10;11366;"Mowi ASA";"Scope 3 (upstream & downstream)";2018;2030;"Company-wide";35;17508680;18916120;0;17643840;0
10;11366;"Mowi ASA";"Scope 3 (upstream & downstream)";2018;2050;"Company-wide";72;17508680;18916120;0;17643840;0
4;11382;"Mars";"Scope 1+2 (market-based)";2015;2025;"Company-wide";40;6607748;6607748;0;4814180;0
4;11382;"Mars";"Scope 1+2 (market-based)";2015;2040;"Company-wide";100;6607748;6607748;0;4814180;0
4;11382;"Mars";"Scope 1+2 (market-based) +3 (upstream)";2015;2025;"Company-wide";27;133852072;42592000;6607748;118800040;4814180
4;11382;"Mars";"Scope 1+2 (market-based) +3 (upstream)";2015;2050;"Company-wide";67;133852072;42592000;6607748;118800040;4814180
1;11413;"Marui Group Co., Ltd.";"Scope 1+2 (market-based)";2016;2030;"Company-wide";80;118184;0;0;81715;0
1;11413;"Marui Group Co., Ltd.";"Scope 3 (upstream & downstream)";2016;2030;"Company-wide";35;489439;0;0;351962;0
49;11421;"Mastercard Incorporated";"Scope 1+2 (location-based)";2016;2025;"Company-wide";38;4861505.11;4861505.11;0;2788049.04;0
49;11421;"Mastercard Incorporated";"Scope 3 (upstream & downstream)";2016;2025;"Company-wide";20;41599919.55;0;0;24647597.31;0
5;11520;"Mazda Motor Corporation";"Scope 1+2 (location-based)";1990;2020;"Company-wide";28;5496500;0;0;3260350;0
15;11566;"McCormick & Company, Incorporated";"Scope 1+2 (market-based)";2015;2025;"Company-wide";20;1869405;1869405;0;1879605;0
16;11566;"McCormick & Company, Incorporated";"Scope 3: Purchased goods & services";2017;2030;"Company-wide";16;29917744;0;0;32781008;0
3;11581;"McDonald's Corporation";"Other, please specify: Other, please specify: Scope 1+2 (market-based) +3 (waste generated in operations)";2015;2030;"Company-wide";36;25338739.44;0;0;0;0
23;11584;"S&P Global";"Scope 1+2 (market-based)";2018;2023;"Company-wide";10;698073;698076.68;0;699095.35;0
1;11634;"Medibank Private";"Scope 1+2 (location-based) +3 (upstream & downstream)";2018;2018;"Company-wide";100;17825.7;0;3400.5;13420.6;3409.7
1;11638;"Mediclinic International";"Scope 1+2 (location-based)";2019;2030;"Company-wide";NA;178497;178497;0;178497;0
11;11764;"Merck KGaA";"Scope 1+2 (market-based)";2006;2020;"Company-wide";20;8601307;8601307;0;7314703;0
70;11765;"Merck & Co., Inc.";"Scope 1+2 (market-based)";2015;2025;NA;40;102127900;102127900;0;75037900;0
10;11796;"MetLife, Inc.";"Scope 1+2 (location-based) +3 (upstream)";2012;2020;"Company-wide";10;1769550;0;0;55580791.5;1038930
4;11796;"MetLife, Inc.";"Scope 1+2 (market-based) +3 (upstream)";2019;2019;"Company-wide";100;519408;21871196.6;54452;21871196.6;54452
3;11842;"Michelin";"Other, please specify: This target covers the following Scope 3 categories: Fuel and energy-related activities, Upstream transportation and distribution, Downstream transportation and distribution, End-of-life treatment of sold products.";2018;2030;"Company-wide";15;15498834;0;0;0;0
1;11842;"Michelin";"Scope 1+2 (market-based)";2010;2020;"Company-wide";15;4067000;4066764;0;2919165;0
1;11842;"Michelin";"Scope 1+2 (market-based)";2010;2030;"Company-wide";38;3877273;4066764;0;2919165;0
1;11842;"Michelin";"Scope 1+2 (market-based)";2010;2050;"Company-wide";100;3877273;4066764;0;2919165;0
17;11866;"Metso";"Other, please specify: Scope 3 Upstream and downstream transportation and distribution";2018;2025;"Company-wide";20;4070650;0;0;0;0
17;11866;"Metso";"Scope 1+2 (location-based)";2018;2030;"Company-wide";25;2194632;2194632;0;2180743;0
17;11866;"Metso";"Scope 3: Use of sold products";2018;2025;"Other, please specify: Most energy-intensive customer processes";10;25415969;0;0;26393724;0
4;11876;"MGM Resorts International";"Scope 1+2 (location-based)";2018;2034;"Company-wide";37.5;3752176;3262704;0;3872280;0
17;11904;"Microchip Technology";"Scope 3: Downstream transportation and distribution";2013;2020;"Business activity";0;32691;32691;0;57878.88;0
4;11930;"Microsoft Corporation";"Other, please specify: Scope 1 + Scope 2 (market-based) + Scope 3 (upstream business air travel only)";2018;2019;"Company-wide";100;0.04;0;0;0;0
4;11930;"Microsoft Corporation";"Scope 1+2 (market-based)";2013;2030;"Company-wide";75;3680572;3680572;0;1555148;0
4;11930;"Microsoft Corporation";"Scope 1+2 (market-based)";2013;2045;"Company-wide";75;3680572;3680572;0;1555148;0
1;12117;"MITIE Group";"Scope 1+2 (market-based)";2018;2025;"Company-wide";100;28912.53;0;0;26459.23;0
9;12128;"MiTAC Holdings Corporation (MHC)";"Scope 1+2 (location-based)";2015;2020;"Site/facility";10;55812;372141;0;417006;0
3;12128;"MiTAC Holdings Corporation (MHC)";"Scope 1+2 (location-based)";2015;2020;"Site/facility";15;60810;124047;0;139002;0
3;12128;"MiTAC Holdings Corporation (MHC)";"Scope 1+2 (location-based)";2015;2020;NA;10;7428;124047;0;139002;0
8;12134;"Mitsubishi Gas Chemical Company, Inc.";"Scope 1+2 (market-based)";1990;2020;"Business division";27.03;9472384;0;0;12853832;0
6;12141;"Mitsubishi Chemical Holdings Corporation";"Scope 1+2 (location-based)";2013;2030;"Country/region";26;74700000;68400000;0;99773736;0
5;12144;"Mitsubishi Electric Corporation";"Scope 1+2 (location-based)";2001;2021;"Company-wide";42;13300000;13300000;0;6235910;0
5;12144;"Mitsubishi Electric Corporation";"Scope 1+2 (location-based)";2014;2051;"Company-wide";80;5950000;5945000;0;6235910;0
5;12144;"Mitsubishi Electric Corporation";"Scope 1+2 (location-based)";2017;2031;"Company-wide";18;7180000;6723005;0;6235910;0
3;12145;"Mitsubishi Estate Co., Ltd.";"Scope 1+2 (market-based)";2017;2030;"Company-wide";35;2164878;0;0;2109549;0
3;12145;"Mitsubishi Estate Co., Ltd.";"Scope 1+2 (market-based)";2017;2050;"Company-wide";87;2164878;0;0;2109549;0
9;12268;"Mitsui Chemicals, Inc.";"Scope 1+2 (market-based)";2005;2030;"Company-wide";27.7;55530000;0;0;40719951;0
5;12268;"Mitsui Chemicals, Inc.";"Scope 1+2 (market-based)";2018;2019;"Company-wide";0.7;22450000;25150000;0;22622195;0
3;12289;"Mitsui Mining & Smelting Co., Ltd.";"Scope 1+2 (market-based)";2013;2030;"Company-wide";7;3726000;0;0;5075025;0
18;12303;"Mitsui O.S.K. Lines Ltd";"Scope 1";2008;2050;"Company-wide";50;366732000;0;0;275467554;0
18;12303;"Mitsui O.S.K. Lines Ltd";"Scope 1+2 (location-based)";2008;2100;"Company-wide";100;368510076;0;0;276279642;0
2;12340;"Mobimo";"Scope 1+2 (location-based)";2011;2022;"Company-wide";42.37;27862;30108;0;18202;0
2;12340;"Mobimo";"Scope 1+2 (market-based)";2011;2022;"Company-wide";42.37;27862;27862;0;22502;0
11;12348;"Molson Coors Brewing Company";"Scope 1+2 (market-based)";2016;2025;"Company-wide";50;14756467;14756468.507;0;11674467.079;0
11;12348;"Molson Coors Brewing Company";"Scope 1+2 (market-based) +3 (upstream & downstream)";2016;2025;"Company-wide";20;74880696;41220729;14756468.507;61967443.78;11674467.079
1;12374;"Morrison Utility Services";"Scope 3: Upstream transportation & distribution";2009;2019;"Company-wide";1.24;38680.04;0;0;0;0
1;12376;"WM Morrison Supermarkets Plc";"Scope 1+2 (location-based)";2017;2025;"Company-wide";33;942863;942863;0;679869;0
36;12379;"Moody's Corporation";"Other, please specify: Scope 3 Fuel and energy related activities (not already included in Scope 1 and 2); Scope 3 Business Travel; and Scope 3 Employee commuting";2019;2025;"Company-wide";15;1075464;0;0;0;0
36;12379;"Moody's Corporation";"Scope 1+2 (market-based)";2019;2030;"Company-wide";50;436680;436680;0;436680;0
1;12392;"Morgan Sindall Group plc";"Scope 1+2 (location-based)";2016;2025;"Company-wide";11;24135;24135;0;20902.27;0
1;12392;"Morgan Sindall Group plc";"Scope 1+2 (location-based)";2016;2050;"Company-wide";56;24135;24135;0;20902.27;0
34;12406;"Morgan Stanley";"Other, please specify: S1+2 (market-based)+3 (Business Travel)";2012;2022;"Company-wide";100;15821900;0;0;0;0
34;12406;"Morgan Stanley";"Scope 1+2 (market-based)";2012;2022;"Company-wide";90;12171660;12171660;0;6953000;0
34;12406;"Morgan Stanley";"Scope 1+2 (market-based)";2012;2033;"Company-wide";90;12171660;12171660;0;6953000;0
1;12551;"MphasiS";"Scope 1+2 (location-based)";2018;2019;"Country/region";1;40643;0;0;0;0
1;12552;"MTR Corporation Limited";"Other, please specify: absolute reduction in electricity consumption for investment properties portfolio in Hong Kong";2013;2023;"Country/region";12;73954;0;0;0;0
6;12592;"MTU Aero Engines AG";"Scope 1+2 (market-based)";1990;2020;"Site/facility";25;308880;0;0;472758;0
8;12610;"Murata Mfg. Co.";"Scope 1+2 (location-based)";2017;2030;"Company-wide";13;11200000;0;0;11928984;0
8;12610;"Murata Mfg. Co.";"Scope 1+2 (location-based)";2017;2050;"Company-wide";74;11200000;0;0;11928984;0
6;12611;"Munich Re";"Other, please specify: Carbon neutrality while purchasing carbon certificates for all carbon emissions that could not be avoided or substituted by renewable  energy sources";2019;2019;"Company-wide";100;590358;0;0;0;0
5;12622;"Murray & Roberts Holdings Limited";"Scope 1+2 (location-based)";2015;2020;"Site/facility";25;27260;369700;0;64250;0
5;12622;"Murray & Roberts Holdings Limited";"Scope 2 (location-based)";2016;2020;"Site/facility";25;7890;118928.5;0;33230;0
1;12631;"Nankai Electric Railway Co., Ltd.";"Scope 1+2 (market-based)";2014;2021;"Company-wide";12;309902.06;309902.063;0;234675.873;0
1;12631;"Nankai Electric Railway Co., Ltd.";"Scope 1+2 (market-based)";2014;2031;"Company-wide";26;309891.65;309902.063;0;234675.873;0
6;12669;"BANDAI NAMCO Holdings Inc.";"Scope 1+2 (market-based)";2015;2017;"Country/region";3;385524;0;0;0;0
9;12669;"BANDAI NAMCO Holdings Inc.";"Scope 1+2 (market-based)";2018;2021;"Country/region";3;535950;535932;0;0;0
1;12674;"Nan Ya Plastics";"Scope 1+2 (location-based)";2015;2022;"Country/region";3;6292609;6292609;0;5945025.491;0
1;12674;"Nan Ya Plastics";"Scope 1+2 (location-based)";2015;2030;"Country/region";6;6292609;6292609;0;5945025.491;0
1;12782;"Nanya Technology Corp";"Scope 1+2 (location-based)";2018;2030;"Company-wide";10;448216;448215.68;0;478721.88;0
10;12798;"National Australia Bank";"Scope 1+2 (location-based)";2015;2025;"Company-wide";21;875650;1508950;0;1096410;0
10;12798;"National Australia Bank";"Scope 1+2 (market-based)";2015;2025;"Company-wide";51;1508930;1502260;0;1063050;0
2;12832;"National Grid PLC";"Scope 1+2 (location-based)";1990;2020;"Company-wide";45;43261942;43261942;0;12966284;0
2;12832;"National Grid PLC";"Scope 1+2 (location-based)";1990;2030;"Company-wide";80;43261942;43261942;0;12966284;0
2;12832;"National Grid PLC";"Scope 1+2 (location-based)";1990;2040;"Company-wide";90;43261942;43261942;0;12966284;0
2;12832;"National Grid PLC";"Scope 1+2 (location-based)";1990;2050;"Company-wide";100;43261942;43261942;0;12966284;0
6;12850;"NCC";"Scope 1+2 (market-based) +3 (upstream & downstream)";2015;2030;"Country/region";50;20022000;1734006;1651608;32143422;1294014
7;12860;"Natura Cosmeticos SA";"Other, please specify: All scope 3 categories that we measure combined";2015;2021;"Company-wide";1.2;2164407;0;0;0;0
7;12860;"Natura Cosmeticos SA";"Scope 1+2 (location-based)";2015;2021;"Company-wide";8;84455;53629.8;0;95833.85;0
12;12889;"Guidehouse";"Scope 2 (market-based)";2019;2019;"Company-wide";100;0;0;0;0;0
5;12893;"Navistar International Corporation";"Scope 1+2 (location-based)";2014;2020;"Company-wide";15;1616940;1616940;0;1084500;0
32;12903;"NEC Corporation";"Scope 1+2 (market-based)";2017;2030;"Company-wide";33;15056320;0;0;11948800;0
32;12903;"NEC Corporation";"Scope 3: Use of sold products";2017;2030;"Company-wide";34;120320000;0;0;93536000;0
2;12915;"Nedbank Limited";"Scope 1+2 (location-based) +3 (upstream & downstream)";2013;2025;"Company-wide";35;442757.62;442757.64;326819.62;376886.9;277137.38
8;12937;"Neste Oyj";"Scope 1+2 (market-based)";2014;2025;"Company-wide";4;28688000;27824000;0;27240000;0
8;12937;"Neste Oyj";"Scope 1+2 (market-based)";2019;2035;"Company-wide";50;27240000;27240000;0;27240000;0
22;12942;"Nestlé";"Other, please specify: Scope 3";2014;2020;"Company-wide";8;2447032896;0;0;0;0
22;12942;"Nestlé";"Scope 1+2 (market-based)";2014;2020;"Company-wide";12;167668446;0;0;123138774;0
1;13019;"Netcare Limited";"Scope 2 (location-based)";2013;2023;"Company-wide";22;232276;231467;0;211026;0
5;13024;"NetApp Inc.";"Scope 2 (location-based)";2016;2022;NA;20;406470;589225;0;457624.55;0
4;13097;"Nexans";"Scope 1+2 (location-based) +3 (upstream & downstream)";2016;2022;"Company-wide";5;1631892;0;0;961796440.12;1377524
11;13146;"Next";"Scope 1+2 (location-based)";2016;2030;"Company-wide";50;1829432;1903847;0;1167969;0
11;13146;"Next";"Scope 3: Waste generated in operations";2016;2020;"Country/region";45;2948;0;0;8126.8;0
20;13161;"NH Hotel Group";"Scope 1+2 (market-based)";2018;2030;"Company-wide";21;1640740;1640720;0;2024820;0
20;13161;"NH Hotel Group";"Scope 3 (upstream & downstream)";2018;2030;"Company-wide";19;7294340;7249540;0;7797260;0
12;13166;"Nidec Corporation";"Scope 1+2 (location-based)";2018;2021;"Site/facility";10;7798089.72;8442808.08;0;7568726.928;0
3;13267;"Nikon Corporation";"Scope 1+2 (market-based)";2014;2031;"Company-wide";26;792535.86;792535.86;0;633757.11;0
3;13267;"Nikon Corporation";"Scope 3 (upstream & downstream)";2014;2031;"Company-wide";31;3940578;617058;0;3334140;0
10;13273;"Nichirei Corporation";"Scope 1+2 (location-based)";2009;2020;"Company-wide";10;2322189.1;0;0;4063090;0
20;13273;"Nichirei Corporation";"Scope 1+2 (market-based)";2009;2020;"Company-wide";10;4509547.1;0;0;7769980;0
10;13273;"Nichirei Corporation";"Scope 1+2 (market-based)";2015;2030;"Company-wide";30;2855210;0;0;3884990;0
8;13279;"NIKE Inc.";"Scope 1+2 (market-based)";2015;2025;"Company-wide";65;2115152;2115152;0;2046232;0
2;13314;"NiSource Inc.";"Scope 1";2005;2025;"Business division";50;19416273;40380462;0;20404154;0
1;13314;"NiSource Inc.";"Scope 1";2005;2030;"Business division";50;1046491;20190231;0;10202077;0
1;13314;"NiSource Inc.";"Scope 1";2005;2030;"Business division";90;18369782;20190231;0;10202077;0
1;13314;"NiSource Inc.";"Scope 1+2 (location-based)";2005;2025;"Company-wide";50;19473363;20255528;0;10244080;0
1;13314;"NiSource Inc.";"Scope 1+2 (location-based)";2005;2030;"Company-wide";90;19473363;20255528;0;10244080;0
8;13321;"Nippon Kayaku Co., Ltd.";"Scope 1+2 (market-based)";2005;2020;"Country/region";3.8;660800;0;0;1033040;0
26;13322;"Nippon Express Co., Ltd.";"Scope 1+2 (market-based)";2013;2031;"Country/region";25.69;22380956;0;0;22230496.366;0
4;13336;"Nippon Sheet Glass Company, Ltd";"Scope 1+2 (location-based)";2018;2030;"Company-wide";21;16611588;0;0;15418580;0
