account_id;company_name;program_id;access;incorporation_country;sectors;industries;activities;primary_sector;primary_industry;primary_activity;project_year;Target reference number;Year target was set;Target coverage;Scope(s) (or Scope 3 category);Base year;Covered emissions in base year (metric tons CO2e);Covered emissions in base year as % of total base year emissions in selected Scope(s) (or Scope 3 category);Target year;Targeted reduction from base year (%);Covered emissions in target year (metric tons CO2e) [auto-calculated];Covered emissions in reporting year (metric tons CO2e);Covered emissions outlier check;Target emission change rate vs 2019;Pro-rated achievement rate (BY-TY);TY_EM;MRY_EM
6855;SUBARU CORPORATION;Investor;public;Japan; Powered machinery, Transportation equipment; Manufacturing; Aerospace, Automobiles, Engines & motors;Transportation equipment;Manufacturing;Automobiles;2020;Abs 1;2017;Company-wide;Scope 1+2 (market-based);2016;682377.2;100;2030;30;477664.04;671892;100.00%;-29%;18%;;
20416;Warehouse Group;Investor;public;New Zealand; Convenience retail, Discretionary retail, Financial services, Land & property ownership & development, Trading, wholesale, distribution, rental & leasing; Infrastructure, Retail, Services; Apparel stores, Banks, Dealers, wholesalers & distributors, Real estate owners & developers, Specialist retail, Supermarkets, food & drugstores, Technology hardware wholesale & distribution;Convenience retail;Retail;Supermarkets, food & drugstores;2020;Abs 1;2015;Company-wide;Scope 1+2 (location-based) +3 (upstream);2015;39817.62;100;2030;32;27075.9816;39198.52;53.47%;-31%;18%;;
11336;Maple Leaf Foods Inc.;Investor;public;Canada; Fish & animal farming, Food & beverage processing; Food, beverage & agriculture; Animal processing, Poultry & other animal farming;Food & beverage processing;Food, beverage & agriculture;Animal processing;2020;Abs 1;2019;Company-wide;Scope 1+2 (market-based);2018;367876;100;2030;30;257513.2;366126;100.00%;-30%;19%;;
22379;BillerudKorsnäs;Investor;public;Sweden; Financial services, Paper products & packaging; Manufacturing, Services; Banks, Paper packaging, Paper products;Paper products & packaging;Manufacturing;Paper packaging;2020;Abs 1;2017;Company-wide;Scope 1+2 (market-based);2016;157543;100;2030;59;64592.63;152356;100.00%;-58%;26%;;
58554;Miyakoda Construction Co Ltd;Investor;public;Japan; Construction; Infrastructure; Residential building construction;Construction;Infrastructure;Residential building construction;2020;Abs 1;2019;Company-wide;Scope 1+2 (location-based);2018;213.34;100;2030;50.4;105.81664;208.44;100.00%;-49%;27%;;
37091;PTT Global Chemical;Investor;public;Thailand; Chemicals, Oil & gas processing; Fossil Fuels, Materials; Oil & gas refining, Other base chemicals, Specialty chemicals;Oil & gas processing;Fossil Fuels;Oil & gas refining;2020;Abs 2;2018;Company-wide;Scope 1+2 (market-based);2012;8695984;100;2030;20;6956787.2;8505483;100.16%;-18%;28%;;
21407;Lenovo Group;Investor;public;United States of America; Electrical & electronic equipment, Media, telecommunications & data center services; Manufacturing, Services; Communications equipment, Computer hardware, Electronic equipment, Servers & data centers;Electrical & electronic equipment;Manufacturing;Computer hardware;2020;Abs 2;2020;Company-wide;Scope 1+2 (market-based);2019;32060.23;100;2030;50;16030.115;31617.88;100.00%;-49%;30%;;
11866;Metso;Investor;public;Finland; Powered machinery; Manufacturing; Agriculture, construction & mining machinery, Industrial machinery;Powered machinery;Manufacturing;Agriculture, construction & mining machinery;2020;Abs 1;2019;Company-wide;Scope 1+2 (location-based);2018;129096;100;2030;25;96822;128279;100.00%;-25%;30%;;
18135;Symrise AG;Investor;public;Germany; Chemicals; Materials; Specialty chemicals;Chemicals;Materials;Specialty chemicals;2020;Abs 1;2016;Company-wide;Scope 1+2 (market-based);2016;325490;100;2030;18;266901.8;321641;100.00%;-17%;31%;;
29807;Synopsys, Inc.;Investor;public;United States of America; IT & software development; Services; Software;IT & software development;Services;Software;2020;Abs 1;2019;Company-wide;Scope 1+2 (market-based);2018;35891;100;2024;25;26918.25;35432;100.00%;-24%;31%;;
37091;PTT Global Chemical;Investor;public;Thailand; Chemicals, Oil & gas processing; Fossil Fuels, Materials; Oil & gas refining, Other base chemicals, Specialty chemicals;Oil & gas processing;Fossil Fuels;Oil & gas refining;2020;Abs 1;2013;Company-wide;Scope 1+2 (market-based);2012;8695984;100;2022;10;7826385.6;8505483;100.16%;-8%;31%;;
31563;ALBARAKA TÜRK KATILIM BANKASI A.Ş.;Investor;public;Turkey; Financial services; Services; Banks;Financial services;Services;Banks;2020;Abs 3;2017;Company-wide;Scope 1+2 (location-based) +3 (upstream & downstream);2017;14906.9;100;2030;25;11180.175;14710.9;100.00%;-24%;34%;;
22295;Metsä Board Corporation;Investor;public;Finland; Paper products & packaging; Manufacturing; Paper packaging, Paper products;Paper products & packaging;Manufacturing;Paper packaging;2020;Abs 2;2019;Company-wide;Scope 1+2 (market-based);2016;538568;100;2030;100;0;499016;100.00%;-100%;34%;;
7331;GIGA-BYTE TECHNOLOGY CO.,LTD;Supply Chain;public;Taiwan, Greater China; Electrical & electronic equipment; Manufacturing; Computer hardware;Electrical & electronic equipment;Manufacturing;Computer hardware;2020;Abs 3;2016;Company-wide;Scope 1+2 (location-based);2016;29287.83;100;2030;34.72;19119.09542;28458.54;100.00%;-33%;38%;;
399;Aisin Seiki Co., Ltd.;Investor;public;Japan; Metal products manufacturing; Manufacturing; Fabricated metal components;Metal products manufacturing;Manufacturing;Fabricated metal components;2020;Abs 3;2019;Company-wide;Scope 1+2 (location-based) +3 (upstream & downstream);2015;15500988.46;100;2030;25;11625741.35;14987004.3;100.00%;-22%;40%;;
847954;Gas Networks Ireland;Investor;public;Ireland; Oil & gas storage & transportation; Fossil Fuels; Oil & gas pipelines & storage;Oil & gas storage & transportation;Fossil Fuels;Oil & gas pipelines & storage;2020;Abs 2;2019;Company-wide;Scope 1+2 (location-based) +3 (upstream & downstream);2010;223613;100;2025;100;0;164423;100.37%;-100%;44%;;
14877;The Navigator Company;Investor;public;Portugal; Wood & paper materials; Materials; Pulp & paper mills;Wood & paper materials;Materials;Pulp & paper mills;2020;Abs 1;2018;Company-wide;Scope 1+2 (market-based);2018;769615;100;2035;86.1;106976.485;752023;#DIV/0!;-86%;45%;;
10062;Kemira Corporation;Investor;public;Finland; Chemicals; Materials; Specialty chemicals;Chemicals;Materials;Specialty chemicals;2020;Abs 1;2019;Company-wide;Scope 1+2 (market-based);2018;930000;100;2030;30;651000;917000;100.00%;-29%;56%;;
1591;BBA Aviation;Investor;public;United Kingdom of Great Britain and Northern Ireland; Industrial support services, Powered machinery; Manufacturing, Services; Engines & motors, Other vehicle equipment & systems, Transportation support services;Industrial support services;Services;Transportation support services;2020;Abs 2;2020;Company-wide;Scope 1+2 (location-based);2018;88665;100;2030;50;44332.5;86583.8;100.00%;-49%;56%;;
1591;BBA Aviation;Investor;public;United Kingdom of Great Britain and Northern Ireland; Industrial support services, Powered machinery; Manufacturing, Services; Engines & motors, Other vehicle equipment & systems, Transportation support services;Industrial support services;Services;Transportation support services;2020;Abs 1;2020;Company-wide;Scope 1+2 (location-based);2018;88665;100;2025;29;62952.15;86583.8;100.00%;-27%;57%;;
7903;H&M Hennes & Mauritz AB;Investor;public;Sweden; Discretionary retail; Retail; Apparel stores;Discretionary retail;Retail;Apparel stores;2020;Abs 2;2018;Company-wide;Scope 1+2 (market-based);2017;63690;100;2030;40;38214;61462;100.00%;-38%;57%;;
10338;KT Corporation;Investor;public;Republic of Korea; Media, telecommunications & data center services; Services; Telecommunications services;Media, telecommunications & data center services;Services;Telecommunications services;2020;Abs 1;2016;Company-wide;Scope 1+2 (location-based);2007;1276872;100;2030;35;829966.8;1134307;100.00%;-27%;61%;;
16913;Siam Cement;Investor;public;Thailand; Cement & concrete, Chemicals, Financial services, Wood & paper materials; Materials, Services; Banks, Cement, Other base chemicals, Pulp & paper mills;Chemicals;Materials;Other base chemicals;2020;Abs 1;2018;Company-wide;Scope 1+2 (location-based);2007;26421400;100;2030;28;19023408;23989600;104.89%;-21%;63%;;
23096;Coca-Cola Femsa Sab-Ser l;Investor;public;Mexico; Food & beverage processing; Food, beverage & agriculture; Non-alcoholic beverages;Food & beverage processing;Food, beverage & agriculture;Non-alcoholic beverages;2020;Abs 3;2019;Company-wide;Scope 2 (location-based);2015;227105.12;100;2030;100;0;187743.73;114.67%;-100%;65%;;
1287;AXA Group;Investor;public;France; Financial services; Services; Asset managers, Banks, Insurance;Financial services;Services;Insurance;2020;Abs 1;2018;Company-wide;Scope 1;2018;38778;100;2025;24;29471.28;37889;100.00%;-22%;67%;;
5154;Ecolab Inc.;Investor;public;United States of America; Commercial & consumer services; Services; Commercial services;Commercial & consumer services;Services;Commercial services;2020;Abs 1;2019;Company-wide;Scope 1+2 (market-based);2018;653455;100;2030;50;326727.5;635225;100.00%;-49%;67%;;
32481;UPM-Kymmene Corporation;Investor;public;Finland; Light manufacturing, Logging & rubber tapping, Renewable power generation, Wood & paper materials, Wood & rubber products; Food, beverage & agriculture, Manufacturing, Materials, Power generation; Finished wood products, Hydro generation, Logging, Other containers & packaging, Pulp & paper mills;Wood & paper materials;Materials;Pulp & paper mills;2020;Abs 1;2019;Company-wide;Scope 1+2 (market-based);2015;6800000;100;2030;65;2380000;6000000;100.00%;-60%;68%;;
12406;Morgan Stanley;Investor;public;United States of America; Financial services; Services; Asset managers, Banks, Insurance;Financial services;Services;Banks;2020;Abs 2;2017;Company-wide;Scope 1+2 (market-based);2012;357990;100;2022;90;35799;204500;100.00%;-82%;68%;;
17279;Snam S.P.A;Investor;public;Italy; Energy utility networks, Oil & gas storage & transportation; Fossil Fuels, Infrastructure; Gas utilities, Oil & gas pipelines & storage;Energy utility networks;Infrastructure;Gas utilities;2020;Abs 2;2019;Company-wide;Scope 1+2 (market-based);2016;1466905;100;2030;40;880143;1379010;100.00%;-36%;70%;;
5194;Eaton Corporation;Investor;public;United States of America; Electrical & electronic equipment, Metal products manufacturing, Powered machinery; Manufacturing; Electrical equipment, Engines & motors, Fabricated metal components, Industrial machinery;Electrical & electronic equipment;Manufacturing;Electrical equipment;2020;Abs 1;2019;Company-wide;Scope 1+2 (market-based);2018;1099044;100;2030;50;549522;1066163;100.00%;-48%;72%;;
1652;Proximus;Investor;public;Belgium; Electrical & electronic equipment, Media, telecommunications & data center services, Web & marketing services; Manufacturing, Services; Communications equipment, Marketing, Telecommunications services;Media, telecommunications & data center services;Services;Telecommunications services;2020;Abs 4;2016;Company-wide;Scope 3 (upstream & downstream);2014;767197;100;2025;10;690477.3;742000;100.05%;-7%;72%;;
1884;Bloomberg;Supply Chain;public;United States of America; Specialized professional services; Services; Other professional services;Specialized professional services;Services;Other professional services;2020;Abs 2;2016;Company-wide;Scope 2 (market-based);2010;93850;100;2025;100;0;53056;100.00%;-100%;72%;;
37874;Toyoda Gosei;Investor;public;Japan; Electrical & electronic equipment, Leisure & home manufacturing, Metal products manufacturing, Powered machinery; Manufacturing; Electronic components, Fabricated metal components, Furniture, Other vehicle equipment & systems;Leisure & home manufacturing;Manufacturing;Furniture;2020;Abs 3;2019;Company-wide;Scope 1+2 (market-based);2015;532597;100;2030;43;303580.29;473051;#DIV/0!;-36%;78%;;
19573;Ube Industries, Ltd.;Investor;public;Japan; Biotech & pharma, Cement & concrete, Chemicals, Coal mining, Land & property ownership & development, Powered machinery; Biotech, health care & pharma, Fossil Fuels, Infrastructure, Manufacturing, Materials; Agriculture, construction & mining machinery, Cement, Coal extraction & processing, Other base chemicals, Pharmaceuticals, Real estate owners & developers;Chemicals;Materials;Other base chemicals;2020;Abs 1;2020;Company-wide;Scope 1+2 (market-based);2013;12800000;100;2030;17;10624000;12100000;99.92%;-12%;78%;;
14132;Owens Corning;Investor;public;United States of America; Other materials; Materials; Glass products, Other non-wood building materials;Other materials;Materials;Glass products;2020;Abs 1;2019;Company-wide;Scope 1+2 (market-based);2018;3824027;100;2030;50;1912013.5;3699293;100.00%;-48%;78%;;
31360;Befimmo SA;Investor;public;Belgium; Financial services; Services; REIT;Financial services;Services;REIT;2020;Abs 4;2017;Company-wide;Scope 2 (market-based);2016;49;100;2021;100;0;25.88;92.76%;-100%;79%;;
15854;Robert Bosch GmbH;Investor;public;Germany; Electrical & electronic equipment, Metal products manufacturing, Powered machinery; Manufacturing; Electrical equipment, Fabricated metal components, Industrial machinery;Metal products manufacturing;Manufacturing;Fabricated metal components;2020;Abs 2;2019;Company-wide;Scope 3 (upstream & downstream);2018;335466818;100;2030;15;285146795.3;332168000;100.00%;-14%;79%;;
1613;BBVA;Investor;public;Spain; Financial services; Services; Banks;Financial services;Services;Banks;2020;Abs 1;2018;Company-wide;Scope 1+2 (market-based);2015;270905.62;100;2025;68;86689.7984;212488.73;100.00%;-59%;79%;;
831161;JENEX Co., LTD.;Investor;public;Japan; Construction; Infrastructure; Renewable energy construction;Construction;Infrastructure;Renewable energy construction;2020;Abs 1;2020;Company-wide;Scope 1+2 (market-based);2017;105;100;2030;54.6;47.67;98;99.53%;-51%;79%;;
17873;Suez;Investor;public;France; Non-energy utilities; Infrastructure; Waste management, Water supply networks;Non-energy utilities;Infrastructure;Water supply networks;2020;Abs 1;2015;Company-wide;Scope 1+2 (market-based);2014;9897924;100;2030;30;6928546.8;9143074;102.32%;-24%;81%;;
22241;Meiji Holdings Co Ltd;Investor;public;Japan; Biotech & pharma, Food & beverage processing; Biotech, health care & pharma, Food, beverage & agriculture; Chocolate confection, Dairy & egg products, Other food processing, Pharmaceuticals;Food & beverage processing;Food, beverage & agriculture;Other food processing;2020;Abs 1;2019;Company-wide;Scope 1+2 (market-based);2015;678000;100;2030;40;406800;604400;99.99%;-33%;81%;;
16645;SEKISUI CHEMICAL CO.,LTD.;Investor;public;Japan; Chemicals, Construction, Electrical & electronic equipment; Infrastructure, Manufacturing, Materials; Electronic components, Other base chemicals, Residential building construction, Transportation infrastructure & other construction;Construction;Infrastructure;Residential building construction;2020;Abs 2;2017;Company-wide;Scope 3 (upstream & downstream);2016;4399504;100;2030;27;3211637.92;4119481.65;100.00%;-22%;83%;;
722;AmorePacific Corporation;Investor;public;Republic of Korea; Chemicals; Materials; Personal care & household products;Chemicals;Materials;Personal care & household products;2020;Abs 1;2020;Company-wide;Scope 1+2 (location-based);2018;51951;100;2030;50;25975.5;50090;92.94%;-48%;86%;;
20402;Walmart, Inc.;Investor;public;United States of America; Convenience retail; Retail; Hypermarkets & superstores, Supermarkets, food & drugstores;Convenience retail;Retail;Hypermarkets & superstores;2020;Abs 2;2016;Company-wide;Scope 3 (upstream & downstream);2015;1000000000;100;2030;100;0;770000000;417.40%;-100%;86%;;
9080;Infosys Limited;Investor;public;India; IT & software development, Specialized professional services; Services; IT services, Other professional services, Software;IT & software development;Services;Software;2020;Abs 1;2016;Company-wide;Scope 1+2 (location-based);2008;179410;100;2022;30;125587;139407;100.00%;-10%;87%;;
17334;Meliá Hotels International S.A.;Investor;public;Spain; Bars, hotels & restaurants, Entertainment services, Other services; Hospitality, Services; Entertainment services, Hotels & lodging, Real estate services;Bars, hotels & restaurants;Hospitality;Hotels & lodging;2020;Abs 2;2019;Company-wide;Scope 1+2 (location-based);2018;329500;95;2035;51;161455;320909;188.05%;-50%;87%;;
333;Adobe, Inc.;Investor;public;United States of America; IT & software development; Services; Software;IT & software development;Services;Software;2020;Abs 2;2016;Company-wide;Scope 1+2 (market-based);2015;64736;100;2035;80;12947.2;55710;100.66%;-77%;87%;;
15994;Koninklijke KPN NV (Royal KPN);Investor;public;Netherlands; Construction, Media, telecommunications & data center services; Infrastructure, Services; Telecommunications services, Utility line construction;Media, telecommunications & data center services;Services;Telecommunications services;2020;Abs 1;2016;Company-wide;Scope 1+2 (location-based);2010;360430;98;2030;55;162193.5;282600;99.99%;-43%;87%;;
19152;Toda Corporation;Investor;public;Japan; Construction, Other services, Specialized professional services, Trading, wholesale, distribution, rental & leasing; Infrastructure, Retail, Services; Engineering services, Non-residential building construction, Real estate services, Vehicles & machinery rental & leasing;Construction;Infrastructure;Non-residential building construction;2020;Abs 2;2017;Company-wide;Scope 1+2 (market-based);2010;90854;100;2030;35;59055.1;76945;100.00%;-23%;87%;;
33870;SMUD;Investor;public;United States of America; Thermal power generation; Power generation; CCGT generation;Thermal power generation;Power generation;CCGT generation;2020;Abs 2;2011;Company-wide;Scope 1+2 (market-based);1990;3500000;100;2030;61.43;1349950;2150217.3;100.00%;-37%;90%;;
19923;Universal Corporation;Supply Chain;public;United States of America; Tobacco; Food, beverage & agriculture; Tobacco products;Tobacco;Food, beverage & agriculture;Tobacco products;2020;Abs 2;2020;Company-wide;Scope 3 (upstream & downstream);2019;648305.44;100;2030;30;453813.808;632389.5;100.00%;-28%;90%;;
73944;Essity;Investor;public;Sweden; Chemicals, Paper products & packaging; Manufacturing, Materials; Paper products, Personal care & household products;Paper products & packaging;Manufacturing;Paper products;2020;Abs 1;2018;Company-wide;Scope 1+2 (location-based);2016;2931000;100;2030;25;2198250;2788551;100.00%;-21%;91%;;
12340;Mobimo;Investor;public;Switzerland; Land & property ownership & development; Infrastructure; Real estate owners & developers;Land & property ownership & development;Infrastructure;Real estate owners & developers;2020;Abs 1;2011;Company-wide;Scope 1+2 (market-based);2011;13931;100;2022;42.37;8028.4353;10035;89.19%;-20%;91%;;
4627;Dexus;Investor;public;Australia; Financial services, Other services; Services; Real estate services, REIT;Financial services;Services;REIT;2020;Abs 3;2018;Company-wide;Scope 1+2 (market-based);2018;147988;100;2030;70;44396.4;140112;100.00%;-68%;91%;;
58641;Landsvirkjun;Investor;public;Iceland; Energy utility networks, Renewable power generation, Thermal power generation; Infrastructure, Power generation; CCGT generation, Electricity networks, Hydro generation;Renewable power generation;Power generation;Hydro generation;2020;Abs 1;2019;Company-wide;Scope 1;2008;53903;100;2030;50;26951.5;41603;100.00%;-35%;91%;;
8708;Hyundai Motor Co;Investor;public;Republic of Korea; Financial services, Transportation equipment; Manufacturing, Services; Automobiles, Banks, Railroad rolling stock;Transportation equipment;Manufacturing;Automobiles;2020;Abs 1;2017;Company-wide;Scope 1+2 (location-based);2016;2854927;100;2030;26;2112645.98;2709093;100.00%;-22%;92%;;
22942;Neopost;Investor;public;France; Electrical & electronic equipment; Manufacturing; Electronic equipment;Electrical & electronic equipment;Manufacturing;Electronic equipment;2020;Abs 1;2020;Company-wide;Scope 1+2 (market-based);2018;17622;100;2030;28;12687.84;16866.35;100.00%;-25%;92%;;
839239;Nobland International;Supply Chain;public;Republic of Korea; Textiles & fabric goods; Apparel; Apparel & footwear;Textiles & fabric goods;Apparel;Apparel & footwear;2020;Abs 2;2018;Company-wide;Scope 1+2 (location-based);2018;11913;100;2025;30;8339.1;11443;100.00%;-27%;92%;;
2913;Castellum;Investor;public;Sweden; Land & property ownership & development, Other services; Infrastructure, Services; Real estate owners & developers, Real estate services;Land & property ownership & development;Infrastructure;Real estate owners & developers;2020;Abs 1;2017;Company-wide;Scope 1+2 (market-based);2017;7255;100;2030;100;0;6222;100.00%;-100%;93%;;
50101;Fonterra Co-operative Group;Investor;public;New Zealand; Food & beverage processing; Food, beverage & agriculture; Dairy & egg products;Food & beverage processing;Food, beverage & agriculture;Dairy & egg products;2020;Abs 2;2020;Company-wide;Scope 1+2 (location-based);2018;2437819;100;2030;30;1706473.3;2381365;100.00%;-28%;93%;;
52914;Arkhangelsk Pulp and Paper Mill;Investor;public;Russian Federation; Paper products & packaging, Wood & paper materials; Manufacturing, Materials; Paper products, Pulp & paper mills;Wood & paper materials;Materials;Pulp & paper mills;2020;Abs 2;2017;Company-wide;Scope 1+2 (location-based);2012;2095961;100;2030;33.2;1400101.948;1844179;100.00%;-24%;93%;;
16876;Shionogi & Co., Ltd.;Investor;public;Japan; Biotech & pharma; Biotech, health care & pharma; Pharmaceuticals;Biotech & pharma;Biotech, health care & pharma;Pharmaceuticals;2020;Abs 2;2020;Company-wide;Scope 1+2 (market-based);2018;82711;100;2030;45;45491.05;76939;100.00%;-41%;93%;;
53585;Nos SGPS;Investor;public;Portugal; Media, telecommunications & data center services, Web & marketing services; Services; Marketing, Media;Media, telecommunications & data center services;Services;Media;2020;Abs 1;2019;Company-wide;Scope 1+2 (market-based);2015;66837;100;2030;75;16709.25;54377;100.00%;-69%;93%;;
838500;PURATOS;Investor;public;Belgium; Food & beverage processing; Food, beverage & agriculture; Other food processing;Food & beverage processing;Food, beverage & agriculture;Other food processing;2020;Abs 1;2018;Company-wide;Scope 2 (market-based);2016;40556.26;100;2023;100;0;24320.57;100.00%;-100%;93%;;
35790;Krueger International, Inc;Investor;public;United States of America; Leisure & home manufacturing, Non-energy utilities; Infrastructure, Manufacturing; Furniture, Waste management;Leisure & home manufacturing;Manufacturing;Furniture;2020;Abs 1;2012;Company-wide;Scope 1+2 (location-based);2011;28190;100;2021;25;21142.5;22889.6;97.11%;-8%;94%;;
13314;NiSource Inc.;Investor;public;United States of America; Energy utility networks, Oil & gas storage & transportation, Thermal power generation; Fossil Fuels, Infrastructure, Power generation; CCGT generation, Coal generation, Gas utilities, Oil & gas pipelines & storage;Energy utility networks;Infrastructure;Gas utilities;2020;Abs 6;2018;Company-wide;Scope 1+2 (location-based);2005;19473363;100;2030;90;1947336.3;10211521;99.68%;-81%;94%;;
19174;Tokyo Electron Ltd.;Investor;public;Japan; Electrical & electronic equipment, Trading, wholesale, distribution, rental & leasing; Manufacturing, Retail; Electronic components, Vehicles & machinery rental & leasing;Electrical & electronic equipment;Manufacturing;Electronic components;2020;Abs 1;2019;Company-wide;Scope 1+2 (market-based);2019;174000;100;2030;20;139200;171000;99.71%;-19%;95%;;
9411;Investor AB;Investor;public;Sweden; Financial services, Specialized professional services; Services; Asset managers, Other professional services;Financial services;Services;Asset managers;2020;Abs 1;2019;Company-wide;Scope 1+2 (market-based);2016;145;100;2030;50;72.5;130;100.00%;-44%;97%;;
23011;Helical Plc;Investor;public;United Kingdom of Great Britain and Northern Ireland; Land & property ownership & development; Infrastructure; Real estate owners & developers;Land & property ownership & development;Infrastructure;Real estate owners & developers;2020;Abs 1;2020;Company-wide;Scope 1+2 (location-based);2019;2533;100;2025;25;1899.75;2431;100.00%;-22%;97%;;
20736;Windstream Corporation;Investor;public;United States of America; Media, telecommunications & data center services; Services; Telecommunications services;Media, telecommunications & data center services;Services;Telecommunications services;2020;Abs 1;2015;Company-wide;Scope 2 (location-based);2015;360795;100;2025;25;270596.25;325554;100.00%;-17%;98%;;
6612;Formosa Chemicals & Fibre Corporation;Investor;public;Taiwan, Greater China; Chemicals; Materials; Other base chemicals;Chemicals;Materials;Other base chemicals;2020;Abs 1;2016;Company-wide;Scope 1+2 (location-based);2005;9391076.73;100;2030;20;7512861.384;8356288.79;100.00%;-10%;98%;;
10389;L'Oréal;Investor;public;France; Chemicals; Materials; Personal care & household products;Chemicals;Materials;Personal care & household products;2020;Abs 1;2017;Company-wide;Scope 1+2 (market-based);2016;120450;100;2025;100;0;80288;97.33%;-100%;100%;;
7164;General Motors Company;Investor;public;United States of America; Financial services, Transportation equipment; Manufacturing, Services; Automobiles, Banks;Transportation equipment;Manufacturing;Automobiles;2020;Abs 1;2018;Company-wide;Scope 1+2 (market-based);2010;6173746;100;2030;31;4259884.74;5311575;100.00%;-20%;100%;;
18277;Taiwan Mobile Co. Ltd.;Investor;public;Taiwan, Greater China; Discretionary retail, Media, telecommunications & data center services, Web & marketing services; Retail, Services; Discretionary delivery retail, Marketing, Telecommunications services;Media, telecommunications & data center services;Services;Telecommunications services;2020;Abs 1;2016;Company-wide;Scope 1+2 (location-based);2016;252379.46;100;2030;30;176665.622;236119.53;100.00%;-25%;100%;;
17334;Meliá Hotels International S.A.;Investor;public;Spain; Bars, hotels & restaurants, Entertainment services, Other services; Hospitality, Services; Entertainment services, Hotels & lodging, Real estate services;Bars, hotels & restaurants;Hospitality;Hotels & lodging;2020;Abs 1;2019;Company-wide;Scope 1+2 (location-based);2018;329500;95;2023;13;286665;320909;188.05%;-11%;100%;;
2326;Broadridge Financial Solutions Inc;Investor;public;United States of America; Financial services, Specialized professional services; Services; Banks, Other financial;Specialized professional services;Services;Other financial;2020;Abs 1;2020;Company-wide;Scope 1+2 (location-based);2019;55001;100;2025;15;46750.85;53622;100.00%;-13%;100%;;
5532;Emira Property Fund;Investor;public;South Africa; Financial services; Services; REIT;Financial services;Services;REIT;2020;Abs 1;2017;Company-wide;Scope 1+2 (location-based);2015;172970;100;2023;13;150483.9;161661.1;100.00%;-7%;101%;;
19789;Unibail-Rodamco-Westfield;Investor;public;France; Financial services; Services; REIT;Financial services;Services;REIT;2020;Abs 1;2016;Company-wide;Scope 1+2 (location-based) +3 (upstream & downstream);2015;5880174;100;2030;50;2940087;5087099;98.14%;-42%;101%;;
18417;Teijin Ltd.;Investor;public;Japan; Biotech & pharma, Chemicals, IT & software development, Plastic product manufacturing; Biotech, health care & pharma, Manufacturing, Materials, Services; Pharmaceuticals, Plastic products, Software, Specialty chemicals;Chemicals;Materials;Specialty chemicals;2020;Abs 2;2019;Company-wide;Scope 1+2 (market-based);2018;1480000;100;2030;20;1184000;1430000;99.99%;-17%;101%;;
17147;SKF;Investor;public;Sweden; Metal products manufacturing; Manufacturing; Fabricated metal components;Metal products manufacturing;Manufacturing;Fabricated metal components;2020;Abs 1;2020;Company-wide;Scope 1+2 (market-based);2015;481383;100;2030;100;0;350804;84.12%;-100%;102%;;
13520;Novo Nordisk A/S;Investor;public;Denmark; Biotech & pharma; Biotech, health care & pharma; Pharmaceuticals;Biotech & pharma;Biotech, health care & pharma;Pharmaceuticals;2020;Abs 1;2018;Company-wide;Scope 1+2 (market-based);2018;176000;100;2030;100;0;161000;100.03%;-100%;102%;;
7310;Givaudan SA;Investor;public;Switzerland; Chemicals; Materials; Specialty chemicals;Chemicals;Materials;Specialty chemicals;2020;Abs 1;2017;Company-wide;Scope 1+2 (market-based);2015;189810;100;2030;70;56943;153556;100.00%;-63%;102%;;
4255;Daito Trust Construction Co., Ltd.;Investor;public;Japan; Financial services, Land & property ownership & development, Other services; Infrastructure, Services; Banks, Real estate owners & developers, Real estate services;Land & property ownership & development;Infrastructure;Real estate owners & developers;2020;Abs 1;2017;Company-wide;Scope 1+2 (market-based);2017;63509;100;2030;55;28579.05;55243.73;100.00%;-48%;103%;;
3329;Cisco Systems, Inc.;Investor;public;United States of America; Electrical & electronic equipment, IT & software development, Specialized professional services; Manufacturing, Services; Communications equipment, IT services, Other professional services, Software;IT & software development;Services;Software;2020;Abs 1;2017;Company-wide;Scope 1+2 (market-based);2007;450733;100;2022;60;180293.2;228610;100.00%;-21%;103%;;
37178;Chorus;Investor;public;New Zealand; Media, telecommunications & data center services; Services; Telecommunications services;Media, telecommunications & data center services;Services;Telecommunications services;2020;Abs 1;2019;Company-wide;Scope 1+2 (location-based);2012;16363;100;2030;80;3272.6;10276;99.99%;-68%;105%;;
4911;Dr. Reddy’s Laboratories;Investor;public;India; Biotech & pharma; Biotech, health care & pharma; Pharmaceuticals;Biotech & pharma;Biotech, health care & pharma;Pharmaceuticals;2020;Abs 1;2020;Company-wide;Scope 1+2 (location-based);2017;463865.43;100;2030;55;208739.4435;402152.56;100.00%;-48%;105%;;
51086;Valmet;Investor;public;Finland; Powered machinery; Manufacturing; Industrial machinery;Powered machinery;Manufacturing;Industrial machinery;2020;Abs 2;2016;Company-wide;Scope 1+2 (location-based);2009;123644;100;2030;60;49457.6;86600;100.00%;-43%;105%;;
14810;Pirelli;Investor;public;Italy; Light manufacturing, Specialized professional services, Wood & rubber products; Manufacturing, Services; Other professional services, Rubber products, Tires;Light manufacturing;Manufacturing;Tires;2020;Abs 1;2020;Company-wide;Scope 1+2 (market-based);2015;925477;100;2025;25;694107.75;828388;100.00%;-16%;105%;;
22340;ICL;Investor;public;Israel; Chemicals; Materials; Inorganic base chemicals, Non-nitrogenous fertilizers, Specialty chemicals;Chemicals;Materials;Non-nitrogenous fertilizers;2020;Abs 1;2013;Company-wide;Scope 1+2 (market-based) +3 (upstream & downstream);2008;4207122;100;2030;45;2313917.1;3194309;100.00%;-28%;107%;;
